repo_code	file_id	object_id	file_format	file_name	file_size	md5_sum	index_object_id	donor_id/donor_count	project_id/project_count	study	bundle_id	Read Group ID (RG)	Library (LB)	Platform (PL)	Platform Model (PM)	Platform Unit (PU)	Predicted Median Insert Size (PI)	Name of Sequencing Centre (CN)	Date run was produced (DT)
collaboratory	FI802947	53b586f7-36af-5e34-a499-bb99f756cad3	BAM	5fec0bbacccec63612eba7128cf75be3.Sample_00810111_2.bam	11379625967	5fec0bbacccec63612eba7128cf75be3		DO50692	ORCA-IN		1	1	illumina		C142VACXX	None			
collaboratory	FI802990	d9dd3483-7f45-5aa4-8a7c-9623d2e96805	BAM	8f64eee342a1c79c1baae54d20fdc4f2.Sample_00150111_2.bam	5330561953	8f64eee342a1c79c1baae54d20fdc4f2		DO27891	ORCA-IN		1	1	illumina		D0CHRACXX	None			
collaboratory	FI802967	08d368c3-fb50-5562-8d30-ebddcb776726	BAM	b4799ee3907edae36ec7b58bc950684b.Sample_00850111_2.bam	10150885771	b4799ee3907edae36ec7b58bc950684b		DO50699	ORCA-IN		1	1	illumina		C142VACXX	None			
collaboratory	FI802904	7913745e-6e70-5b66-9235-8f42c129d799	BAM	f53e87c2c7e06b5a127638edf7e2e893.Sample_00330111_2.bam	5375867500	f53e87c2c7e06b5a127638edf7e2e893		DO27927	ORCA-IN		1	1	illumina		D0CKMACXX	None			
collaboratory	FI802912	1b85eb08-671e-52fa-8c89-21f2021692f5	BAM	2015e8cc02c78f5275a591bd7d406ca1.Sample_00400131_2.bam	5829638150	2015e8cc02c78f5275a591bd7d406ca1		DO27941	ORCA-IN		1	1	illumina		D032BACXX	None			
collaboratory	FI802920	bd6c3e2e-1398-5652-b688-d520bdf28a9c	BAM	aac6b72984757bbba6eca74ee8eff0ff.Sample_00940131_2.bam	5479701729	aac6b72984757bbba6eca74ee8eff0ff		DO50710	ORCA-IN		1	1	illumina		C1NA4ACXX	None			
collaboratory	FI802940	79865979-a875-57d8-9f53-c7980015ceb5	BAM	cd1651f0c5526b59a7558aa3e5679bc5.Sample_01060111_2.bam	5851597057	cd1651f0c5526b59a7558aa3e5679bc5		DO50727	ORCA-IN		1	1	illumina		llumina	None			
collaboratory	FI802879	7e96a77e-a009-5cb5-9fb5-4afe56259e97	BAM	7da854a3f78abf717c0fb0b2c78c8163.Sample_00940111_2.bam	9978570117	7da854a3f78abf717c0fb0b2c78c8163		DO50710	ORCA-IN		1	1	illumina		C1NA4ACXX	None			
collaboratory	FI803000	2e159ade-b18d-5d1a-99cc-9239883e6d1e	BAM	cf3033d4c0c1388ea3ef4545ad6c1bf0.Sample_00230111_2.bam	1818274685	cf3033d4c0c1388ea3ef4545ad6c1bf0		DO27907	ORCA-IN		1	1	illumina		D0CHRACXX	None			
collaboratory	FI802999	ebf0d196-0d80-5152-ba92-07a2545cb14f	BAM	37c6a327a5b98f9e2f0c16aff93d5b9b.Sample_00740131_2.bam	6294867781	37c6a327a5b98f9e2f0c16aff93d5b9b		DO50685	ORCA-IN		1	1	illumina		C1NA4ACXX	None			
collaboratory	FI802970	6d3fc6b3-bbd7-5ebe-b569-49c2414ab6d9	BAM	106d1369ac95314ff5d7da06f6d04609.Sample_00920131_2.bam	5721550047	106d1369ac95314ff5d7da06f6d04609		DO50707	ORCA-IN		1	1	illumina		C1NA4ACXX	None			
